インクルード	인클루드
トグル	토글
開発	프로그래밍
展開	배포
展開	deploy
Ruby on Railsチュートリアル	Ruby on Rails 튜토리얼
テスト駆動開発	테스트 주도 개발
TDD	테스트 주도 개발
スケール	확장
開発環境	개발환경
アプリ	어플리케이션
開発者	프로그래머
プログラマ	프로그래머
IDE	통합개발환경
IDE	integrated development environments
プラットフォーム	크로스 플랫폼
テキストエディタ	텍스트 에디터
ベータ	베타
ターミナル	터미널
그림	그림
図	그림
インストーラ	인스톨러
ユーザー	사용자
プラットフォーム	플랫폼
プラットフォーム	시스템
スケルトン	뼈대
アプリケーション	어플리케이션
ディレクトリ	디렉토리
コマンド	명령어
モデル	모델
ビュー	뷰
コントローラ	컨트롤러
ヘルパー	헬퍼
アプリケーション	어플리케이션
ファイル	파일
Asset Pipeline	애셋 파이프라인
アセット	애셋
画像	이미지
画像	그림
エラー	에러
エラーページ	에러 페이지
ブラウザ	브라우저
ログ	로그
ライブラリ	라이브러리
モジュール	모듈
ドキュメント	문서
マニュアル	매뉴얼
データベース	데이터베이스
バイナリ	바이너리
サードパーティ	서드파티
プラグイン	플러그인
ミドルウェア	미들웨어
フォルダ	디렉토리
デフォルト	기본
コメント	주석
JavaScript	자바스크립트
チュートリアル	튜토리얼
バージョン	버전
ピンポイント	정확히
ホームページ	홈페이지
ページ	페이지
アーキテクチ	아키텍처
migrate	마이그레이트
アクション	액션
リクエスト	리퀘스트
メソッド	메소드
テスト	테스트
カスタムヘルパー	커스텀 헬퍼
ビュー	뷰
タイトル	타이틀
文字列の挿入	문자열 보간
データ構造	데이터 구조
式展開	문자열 보간법
interpolation	문자열 보간법
慣習	관습
モックアップ	목업
